Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita
1997,Andover,Tolland,P,109.0,2782.0,15000.0,5.4,1676.0,0.6,414.0,0.1,17369.0,6.2,68.0,841.0,0.3,15534.0,5.6,61580.0,22.14,56570.0,20.33,10203.0,33442.0,48173.0,17.3
1997,Ashford-Babcock,Windham,P,135.0,4041.0,12575.0,3.1,1384.0,0.34,448.0,0.1,32794.0,8.1,22.0,1253.0,0.3,24096.0,6.0,113989.0,28.21,106710.0,26.41,20427.0,63816.0,94533.0,23.4
1997,Avon,Hartford,P,18.0,14265.0,166663.0,11.7,8911.0,0.62,18386.0,1.3,224958.0,15.8,258.0,9199.0,0.6,74915.0,5.3,720122.0,50.48,644797.0,45.2,108502.0,372057.0,592507.0,41.5
1997,Beacon Falls,New Haven,P,121.0,5368.0,8000.0,1.5,1517.0,0.28,550.0,0.1,9532.0,1.8,44.0,460.0,0.1,6800.0,1.3,54202.0,10.1,34886.0,6.5,17272.0,26969.0,44941.0,8.4
1997,Berlin-Peck,Hartford,P,48.0,16795.0,109388.0,6.5,6975.0,0.42,6490.0,0.4,227840.0,13.6,390.0,9304.0,0.6,92443.0,5.5,651974.0,38.82,663294.0,39.49,101652.0,340727.0,505201.0,30.1
1997,Bethany - Clark,New Haven,P,53.0,4878.0,19700.0,4.0,3217.0,0.66,650.0,0.1,50448.0,10.3,46.0,405.0,0.1,33706.0,6.9,70444.0,14.44,57302.0,11.75,11417.0,32297.0,53370.0,10.9
1997,Bethel,Fairfield,P,71.0,18101.0,155261.0,8.6,12369.0,0.68,16731.0,0.9,145882.0,8.1,172.0,4864.0,0.3,85714.0,4.7,446832.0,24.69,421755.0,23.3,102461.0,252429.0,422982.0,23.4
1997,Bethlehem,Litchfield,P,65.0,3397.0,17478.0,5.1,2379.0,0.7,2286.0,0.7,32686.0,9.6,45.0,790.0,0.2,23210.0,6.8,69847.0,20.56,60000.0,17.66,7239.0,38830.0,50834.0,15.0
1997,Bloomfield - Prosser,Hartford,P,61.0,18477.0,55280.0,4.6,9037.0,0.49,18844.0,1.0,217113.0,11.8,586.0,11788.0,0.6,119763.0,6.5,802922.0,43.46,777534.0,42.08,104003.0,599947.0,773875.0,41.9
1997,Bolton - Bentley,Tolland,P,90.0,4665.0,20800.0,4.5,3829.0,0.82,702.0,0.2,41972.0,9.0,97.0,1411.0,0.3,35230.0,7.6,144856.0,31.05,140948.0,30.21,37535.0,96563.0,139748.0,30.0
1997,Branford - Blackstone,New Haven,P,50.0,28123.0,86500.0,3.1,24111.0,0.86,56270.0,2.0,172722.0,6.1,400.0,5928.0,0.2,84499.0,3.0,661421.0,23.52,467509.0,16.62,66262.0,404943.0,547452.0,19.5
1997,Branford - Willoughby,New Haven,N,50.0,13063.5,17000.0,0.6,1563.0,0.06,5000.0,0.2,45294.0,1.6,35.0,6660.0,0.2,23575.0,0.8,125013.0,4.45,106711.0,3.79,20000.0,72630.0,115055.0,4.1
1997,Bridgeport,Fairfield,P,168.0,136954.0,371570.0,2.7,37284.0,0.27,199258.0,1.5,411044.0,3.0,569.0,9921.0,0.1,511123.0,3.7,3340860.0,24.39,3226824.0,23.56,431546.0,2203050.0,3022198.0,22.1
1997,Bridgewater - Burnham,Litchfield,P,21.0,1729.0,15416.0,8.9,1025.0,0.59,5810.0,,21333.0,12.3,4993.0,300.0,0.2,28360.0,16.4,82614.0,47.78,47875.0,27.69,13971.0,50853.0,70746.0,40.9
1997,Bristol,Hartford,P,134.0,59509.0,229075.0,3.8,20259.0,0.34,20171.0,0.3,337870.0,5.7,672.0,17043.0,0.3,141437.0,2.4,1213865.0,20.4,1148575.0,19.3,174121.0,805677.0,1056811.0,17.8
1997,Brookfield,Fairfield,P,34.0,14820.0,114349.0,7.7,10736.0,0.72,13532.0,0.9,159765.0,10.8,201.0,7018.0,0.5,60042.0,4.1,380967.0,25.71,349917.0,23.61,62748.0,225931.0,338098.0,22.8
1997,Brooklyn,Windham,P,151.0,6802.0,14560.0,2.1,2838.0,0.42,1872.0,0.3,28494.0,4.2,30.0,495.0,0.1,19496.0,2.9,76085.0,11.19,63685.0,9.36,23313.0,31803.0,69941.0,10.3
1997,Burlington,Hartford,P,73.0,7657.0,29000.0,3.8,3642.0,0.48,893.0,0.1,46130.0,6.0,65.0,1516.0,0.2,29647.0,3.9,122454.0,15.99,115281.0,15.06,15051.0,78932.0,105383.0,13.8
1997,Canaan - David Hunt,Litchfield,P,39.0,1325.0,14612.0,11.0,666.0,0.5,5810.0,,16002.0,12.1,140.0,2054.0,1.6,25853.0,19.5,67894.0,51.24,25000.0,18.87,5432.0,29451.0,41357.0,31.2
1997,Canterbury,Windham,P,154.0,4677.0,5229.0,1.1,1281.0,0.27,5810.0,,15034.0,3.2,262.0,5044.5,0.4,13024.0,2.8,34694.0,7.42,28680.0,6.13,6200.0,16650.0,31238.0,6.7
1997,Canton,Hartford,P,67.0,8496.0,23660.0,2.8,7700.0,0.91,5810.0,,35800.0,4.2,262.0,5044.5,0.4,46788.0,5.5,224667.0,26.44,215740.0,25.39,29739.0,121928.0,177711.0,20.9
1997,Chaplin,Windham,P,136.0,2127.0,5616.0,2.6,410.0,0.19,5810.0,,6897.0,3.2,1.0,40.0,0.0,14377.0,6.8,26981.0,12.69,23550.0,11.07,7129.0,12804.0,22087.0,10.4
1997,Cheshire,New Haven,P,54.0,26660.0,99500.0,3.7,20645.0,0.77,24950.0,0.9,271204.0,10.2,90.0,3409.0,0.1,106484.0,4.0,861204.0,32.3,796961.0,29.89,121013.0,659008.0,861204.0,32.3
1997,Chester,Middlesex,P,63.0,3621.0,20000.0,5.5,2800.0,0.77,1103.0,0.3,32932.0,9.1,48.0,898.0,0.2,14387.0,4.0,47198.0,13.03,37930.0,10.48,13215.0,28583.0,47198.0,13.0
1997,Clinton - Henry C. Hull,Middlesex,P,92.0,13100.0,55280.0,4.6,6700.0,0.51,2000.0,0.2,224169.0,17.1,219.0,5040.0,0.4,40466.0,3.1,350072.0,26.72,237661.0,18.14,74859.0,188212.0,307638.0,23.5
1997,Colchester - Cragin,New London,P,131.0,12101.0,34892.0,2.9,8580.0,0.71,3944.0,0.3,74151.0,6.1,182.0,5275.0,0.4,29991.0,2.5,184626.0,15.26,160000.0,13.22,34441.0,112015.0,172318.0,14.2
1997,Columbia - S.B. Little,Tolland,P,81.0,4802.0,4040.0,0.8,2840.0,0.59,4012.0,0.8,34538.0,7.2,25.0,1848.0,0.4,27027.0,5.6,155161.0,32.31,134422.0,27.99,25572.0,79349.0,137032.0,28.5
1997,Cornwall,Litchfield,P,12.0,1497.0,8700.0,5.8,620.0,0.41,5810.0,,13980.0,9.3,3.0,65.0,0.0,15240.0,10.2,31990.0,21.37,2800.0,1.87,5274.0,13105.0,40839.0,27.3
1997,Coventry - Booth Dim,Tolland,P,129.0,10863.0,39950.0,3.7,4551.0,0.42,2355.0,0.2,92456.0,8.5,178.0,3558.0,0.3,45044.0,4.1,190760.0,17.56,173100.0,15.93,26636.0,102090.0,153455.0,14.1
1997,Cromwell,Middlesex,P,97.0,12631.0,51987.0,4.1,4413.0,0.35,4523.0,0.4,82246.0,6.5,124.0,3448.0,0.3,42089.0,3.3,329270.0,26.07,321828.0,25.48,56031.0,230919.0,336227.0,26.6
1997,Danbury,Fairfield,P,78.0,67511.0,226705.0,3.4,26931.0,0.4,36954.0,0.5,308582.0,4.6,714.0,16582.0,0.2,89078.0,1.3,1526360.0,22.61,1512625.0,22.41,175658.0,1060860.0,1533061.0,22.7
1997,Darien,Fairfield,P,1.0,19271.0,346815.0,18.0,17196.0,0.89,34453.0,1.8,485714.0,25.2,44.0,5044.5,0.4,145467.0,7.5,1678090.0,87.08,1227100.0,63.68,307617.0,861494.0,1387644.0,72.0
1997,Deep River,Middlesex,P,86.0,4480.0,23126.0,5.2,3726.0,0.83,828.0,0.2,19808.0,4.4,4.0,150.0,0.0,19927.0,4.4,71881.0,16.04,66835.0,14.92,9688.0,30687.0,52487.0,11.7
1997,Derby,New Haven,P,138.0,11954.0,35372.0,3.0,2801.0,0.23,4992.0,0.4,31911.0,2.7,285.0,7132.0,0.6,44498.0,3.7,240768.0,20.14,207800.0,17.38,29835.0,146811.0,225264.0,18.8
